seq,timestamp,rtt_ms,status,send_msg,ack_msg
112,2026-05-28T16:03:01,19.622333000000935,SUCCESS,"PING,112,1779955381.2902489","ACK,PING,112,1779955381.2902489,RSSI=-72"
113,2026-05-28T16:03:02,120.50170800000615,SUCCESS,"PING,113,1779955382.315261","ACK,PING,113,1779955382.315261,RSSI=-77"
114,2026-05-28T16:03:03,57.473583000017925,SUCCESS,"PING,114,1779955383.440897","ACK,PING,114,1779955383.440897,RSSI=-73"
115,2026-05-28T16:03:05,532.0305420000011,SUCCESS,"PING,115,1779955384.5036821","ACK,PING,115,1779955384.5036821,RSSI=-75"
116,2026-05-28T16:03:06,81.86962499999595,SUCCESS,"PING,116,1779955386.041187","ACK,PING,116,1779955386.041187,RSSI=-75"
117,2026-05-28T16:03:07,460.38945800000874,SUCCESS,"PING,117,1779955387.125068","ACK,PING,117,1779955387.125068,RSSI=-78"
118,2026-05-28T16:03:08,91.01979200002575,SUCCESS,"PING,118,1779955388.5909681","ACK,PING,118,1779955388.5909681,RSSI=-72"
119,2026-05-28T16:03:09,20.702415999977575,SUCCESS,"PING,119,1779955389.68541","ACK,PING,119,1779955389.68541,RSSI=-75"
120,2026-05-28T16:03:10,21.748457999990478,SUCCESS,"PING,120,1779955390.7086961","ACK,PING,120,1779955390.7086961,RSSI=-66"
121,2026-05-28T16:03:11,171.03387500000622,SUCCESS,"PING,121,1779955391.73601","ACK,PING,121,1779955391.73601,RSSI=-64"
122,2026-05-28T16:03:15,,TIMEOUT,"PING,122,1779955392.9125278",
123,2026-05-28T16:03:17,83.0142080000087,SUCCESS,"PING,123,1779955396.9196658","ACK,PING,123,1779955396.9196658,RSSI=-68"
124,2026-05-28T16:03:18,96.92404099999408,SUCCESS,"PING,124,1779955398.005596","ACK,PING,124,1779955398.005596,RSSI=-68"
